team_name,dates,wins,defeats,draws,exp_wins,exp_defeats,exp_draws,under_2_5,over_2_5,exp_under_2_5,exp_over_2_5
Brighton,"['2023-08-15', '2023-08-18']","[0, 0]","[0, 1]","[1, 0]","[0.4166666666666667, 0.15384615384615385]","[0.3125, 0.7692307692307692]","[0.3125, 0.2222222222222222]","[1, 0]","[0, 1]","[0.4347826086956522, 0.3125]","[0.425531914893617, 0.7407407407407407]"
Burnley,['2023-08-15'],[0],[0],[1],[0.47619047619047616],[0.3333333333333333],[0.30303030303030304],[1],[0],[0.45454545454545453],[0.4347826086956522]
Leeds United,"['2023-08-14', '2023-08-18']","[0, 0]","[1, 0]","[0, 1]","[0.3125, 0.23809523809523808]","[0.5, 0.5]","[0.29411764705882354, 0.25]","[0, 0]","[1, 1]","[0.4347826086956522, 0.4166666666666667]","[0.47619047619047616, 0.47619047619047616]"
Leicester City,"['2023-08-13', '2023-08-15', '2023-08-20', '2023-08-27', '2023-09-03', '2023-09-10', '2023-09-16', '2023-09-24', '2023-10-01', '2023-10-08']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 1, 1, 0, 1, 1]","[1, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0.3333333333333333, 0.4, 0.47619047619047616, 0.2222222222222222, 0.16666666666666666, 0.2, 0.2, 0.47619047619047616, 0.2222222222222222, 0.16666666666666666]","[0.4347826086956522, 0.3125, 0.30303030303030304, 0.48780487804878053, 0.7142857142857143, 0.5, 0.6666666666666666, 0.30303030303030304, 0.48780487804878053, 0.7142857142857143]","[0.2857142857142857, 0.29411764705882354, 0.29411764705882354, 0.23809523809523808, 0.23809523809523808, 0.23809523809523808, 0.25, 0.29411764705882354, 0.23809523809523808, 0.23809523809523808]","[1, 0, 0, 0, 1, 1, 0, 0, 0, 1]","[0, 1, 1, 1, 0, 0, 1, 1, 1, 0]","[0.5, 0.47619047619047616, 0.4347826086956522, 0.4444444444444444, 0.45454545454545453, 0.4444444444444444, 0.4166666666666667, 0.4347826086956522, 0.4444444444444444, 0.45454545454545453]","[0.4444444444444444, 0.46511627906976744, 0.4444444444444444, 0.4347826086956522, 0.48780487804878053, 0.425531914893617, 0.48780487804878053, 0.4444444444444444, 0.4347826086956522, 0.48780487804878053]"
Manchester City,"['2023-08-13', '2023-08-14', '2023-08-18', '2023-08-26', '2023-09-02', '2023-09-17', '2023-09-24', '2023-09-30', '2023-10-07']","[1, 1, 1, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 1]","[0.6666666666666666, 0.7142857142857143, 0.7692307692307692, 0.425531914893617, 0.3125, 0.7142857142857143, 0.4347826086956522, 0.425531914893617, 0.3125]","[0.2, 0.16666666666666666, 0.15384615384615385, 0.25, 0.4166666666666667, 0.16666666666666666, 0.29411764705882354, 0.25, 0.4166666666666667]","[0.25, 0.25, 0.2222222222222222, 0.2857142857142857, 0.29411764705882354, 0.23809523809523808, 0.29411764705882354, 0.2857142857142857, 0.29411764705882354]","[0, 0, 0, 1, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0, 1]","[0.4166666666666667, 0.3333333333333333, 0.3125, 0.4347826086956522, 0.47619047619047616, 0.45454545454545453, 0.45454545454545453, 0.4347826086956522, 0.47619047619047616]","[0.46511627906976744, 0.7142857142857143, 0.7407407407407407, 0.47619047619047616, 0.47619047619047616, 0.47619047619047616, 0.48780487804878053, 0.47619047619047616, 0.47619047619047616]"
Manchester United,"['2023-08-12', '2023-08-14', '2023-08-16', '2023-08-26', '2023-09-09', '2023-09-16', '2023-09-23', '2023-09-30']","[0, 1, 1, 1, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 1, 0]","[0.3333333333333333, 0.45454545454545453, 0.6666666666666666, 0.45454545454545453, 0.4347826086956522, 0.3225806451612903, 0.3333333333333333, 0.45454545454545453]","[0.4166666666666667, 0.3125, 0.2, 0.3225806451612903, 0.3225806451612903, 0.3333333333333333, 0.3225806451612903, 0.3225806451612903]","[0.3125, 0.30303030303030304, 0.25, 0.2857142857142857, 0.2857142857142857, 0.29411764705882354, 0.30303030303030304, 0.2857142857142857]","[0, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 1, 1, 0, 0, 1]","[0.45454545454545453, 0.47619047619047616, 0.30303030303030304, 0.5, 0.47619047619047616, 0.47619047619047616, 0.47619047619047616, 0.5]","[0.48780487804878053, 0.46511627906976744, 0.6666666666666666, 0.45454545454545453, 0.46511627906976744, 0.46511627906976744, 0.47619047619047616, 0.45454545454545453]"
Crystal Palace,"['2023-08-14', '2023-08-19']","[0, 0]","[1, 1]","[0, 0]","[0.4166666666666667, 0.25]","[0.3225806451612903, 0.47619047619047616]","[0.30303030303030304, 0.23809523809523808]","[0, 1]","[1, 0]","[0.5, 0.3333333333333333]","[0.4444444444444444, 0.6451612903225806]"
Liverpool,"['2023-08-12', '2023-08-13', '2023-08-18', '2023-08-27', '2023-09-03', '2023-09-10', '2023-09-16', '2023-09-23', '2023-10-01', '2023-10-08']","[0, 1, 0, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 1, 0, 0, 0, 0]","[0.4166666666666667, 0.7142857142857143, 0.5, 0.6666666666666666, 0.7142857142857143, 0.4347826086956522, 0.6666666666666666, 0.4444444444444444, 0.6666666666666666, 0.7142857142857143]","[0.3333333333333333, 0.16666666666666666, 0.23809523809523808, 0.2, 0.16666666666666666, 0.3125, 0.2, 0.3125, 0.2, 0.16666666666666666]","[0.3125, 0.23809523809523808, 0.25, 0.25, 0.23809523809523808, 0.29411764705882354, 0.25, 0.25, 0.25, 0.23809523809523808]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[0.45454545454545453, 0.4, 0.4166666666666667, 0.4166666666666667, 0.45454545454545453, 0.45454545454545453, 0.4166666666666667, 0.5, 0.4166666666666667, 0.45454545454545453]","[0.48780487804878053, 0.5, 0.47619047619047616, 0.46511627906976744, 0.48780487804878053, 0.47619047619047616, 0.48780487804878053, 0.46511627906976744, 0.46511627906976744, 0.48780487804878053]"
Aston Villa,['2023-08-14'],[1],[0],[0],[0.3225806451612903],[0.4166666666666667],[0.30303030303030304],[0],[1],[0.5],[0.4444444444444444]
Watford,['2023-08-17'],[0],[1],[0],[0.18181818181818182],[0.6896551724137931],[0.25],[1],[0],[0.3225806451612903],[0.6666666666666666]
